Data,Cell Type,Slope,LI,HI,Sign,Association Score
LumA,GenMod4,0.155945196311268,0.795548610800025,1.20445138919998,1,1
LumA,Macrophage,0.0816802288800676,0.598395002715851,0.83137482129299,1,0.71488491200442
LumA,Mature.Luminal,0.079449393598072,0.518584203679087,0.872136011724779,1,0.695360107701932
LumA,T.cells.CD4.,0.0606552365364537,0.447100774346689,0.61463751969356,1,0.530869147020124
LumA,GenMod6,0.0422903847228582,0.290254423597804,0.450016713634803,1,0.370135568616303
LumA,GenMod3,0.0311993368719508,0.190464525991619,0.35566360073168,1,0.273064063361649
LumA,Luminal.Progenitors,-0.0405951888850219,-0.407267654315359,-0.303329963536166,-1,-0.355298808925763
LumA,T.cells.CD8.,-0.0428684666501426,-0.436681955251818,-0.313708204745153,-1,-0.375195079998486
LumA,PVL.Immature,-0.0440529505100805,-0.507062288168459,-0.2640616442871,-1,-0.38556196622778
LumA,PVL.Differentiated,-0.0477414962574644,-0.499498809110761,-0.336191193694934,-1,-0.417845001402848
LumA,Monocyte,-0.0486504296069574,-0.533786254765447,-0.317814152466864,-1,-0.425800203616156
LumA,DCs,-0.0670831102295984,-0.694812082368715,-0.479442789612235,-1,-0.587127435990476
LumA,Endothelial.RGS5,-0.0684973545630366,-0.725821519538436,-0.473188962208181,-1,-0.599505240873309
LumA,GenMod2,-0.0759308732421925,-0.783970605878496,-0.545159745013797,-1,-0.664565175446147
LumB,CAFs.MSC.iCAF.like,0.60053163579593,0.887030300146537,1.11296969985346,1,1
LumB,GenMod4,0.277125822137452,0.670813416767836,0.845606665322962,1,0.758210041045398
LumB,PVL.Immature,0.229678713314487,0.572158557854655,0.68463307062851,1,0.628395814241582
LumB,Macrophage,0.177127315508882,0.407707409701123,0.561525324559485,1,0.484616367130303
LumB,T.cells.CD4.,0.148474936127534,0.365438702597875,0.447009495460223,1,0.406224099029049
LumB,NKT.cells,0.147404316515301,0.345044950780791,0.461544864728367,1,0.403294907754579
LumB,CAFs.myCAF.like,0.128028440395872,0.308292677774919,0.392273211746455,1,0.350282944760686
LumB,Endothelial.CXCL12,0.107552124127244,0.246123341784792,0.342397062557687,1,0.294260202171239
LumB,GenMod1,0.0814897423014353,0.174378352214831,0.271529866503993,1,0.222954109359411
LumB,Endothelial.RGS5,-0.0403811294219157,-0.147634040495127,-0.0733296904217587,-1,-0.110481865458443
LumB,Myoepithelial,-0.0780761816955839,-0.255535136275145,-0.171694231753324,-1,-0.213614684014234
LumB,Endothelial.ACKR1,-0.0954428326522738,-0.295753533466152,-0.226505370483093,-1,-0.261129451974623
LumB,GenMod7,-0.105786317562777,-0.326055725821656,-0.252802264117169,-1,-0.289428994969413
LumB,T.cells.CD8.,-0.110130581775274,-0.332169797704616,-0.270459811359874,-1,-0.301314804532246
LumB,GenMod2,-0.111201288326662,-0.343867334245923,-0.264621133094668,-1,-0.304244233670296
LumB,PVL.Differentiated,-0.21853833376424,-0.654570509135804,-0.541261461594032,-1,-0.597915985364918
LumB,DCs,-0.220057515412008,-0.728157275314645,-0.475987589324718,-1,-0.602072432319682
LumB,GenMod5,-0.365500068761103,-1.107468942986,-0.892531057014,-1,-1
Basal,DCs,0.411284475048365,0.904248163301458,1.09575183669854,1,1
Basal,T.cells.CD4.,0.289329916663411,0.744010468574029,0.916338488408964,1,0.830174478491496
Basal,GenMod4,0.259981128967123,0.66651599891976,0.825411974840348,1,0.745963986880054
Basal,Luminal.Progenitors,0.178751992690812,0.445951767718924,0.579834601162143,1,0.512893184440533
Basal,GenMod1,0.0551411025079275,0.115411184122233,0.201021603374255,1,0.158216393748244
Basal,Plasmablasts,0.0339792175503657,0.062653008164901,0.132340164575271,1,0.0974965863700856
Basal,GenMod3,-0.0836116223248645,-0.295673694621932,-0.184140047142784,-1,-0.239906870882358
Basal,PVL.Immature,-0.153379556037799,-0.482301275288489,-0.397882802551391,-1,-0.44009203891994
Basal,Myoepithelial,-0.171890482409978,-0.549142166682333,-0.437268732252553,-1,-0.493205449467443
Basal,GenMod5,-0.193051686427042,-0.647730237555841,-0.460116368489517,-1,-0.553923303022679
Basal,Monocyte,-0.216006614510436,-0.702617576860719,-0.53695820306479,-1,-0.619787889962755
Basal,CAFs.myCAF.like,-0.254304570844768,-0.797880457670083,-0.661472013817751,-1,-0.729676235743917
Basal,NKT.cells,-0.302755843135348,-0.963012614597348,-0.77438237782948,-1,-0.868697496213415
Basal,GenMod2,-0.337440383841107,-1.05653868935076,-0.879897044000329,-1,-0.968217866675547
Her2,DCs,0.283354514798683,0.814813202379823,1.17441584632859,1,0.994614524354203
Her2,Endothelial.CXCL12,0.163421002168145,0.43056060280277,0.716701176007695,1,0.573630889405232
Her2,Macrophage,0.132485203102309,0.360810117624276,0.569273578844751,1,0.465041848234513
Her2,Mature.Luminal,0.129600274296445,0.375424454014744,0.534406224117312,1,0.454915339066028
Her2,GenMod1,0.0941427596081414,0.238060090864557,0.422848778969897,1,0.330454434917226
Her2,T.cells.CD8.,0.0897737956315911,0.229203523901208,0.401033979849352,1,0.315118751875279
Her2,GenMod7,0.0421483820144848,0.0928064731640009,0.203087121186669,1,0.147946797175334
